id,simulation_id,generation,distance,parent_1,parent_2,chemin,n_generations,mutation_rate,elitisme_rate,timestamp
1,1,0,23796.027756880285,"[0, 21, 47, 4, 32, 16, 3, 43, 12, 25, 46, 20, 28, 31, 33, 34, 1, 6, 23, 36, 9, 13, 15, 42, 29, 45, 10, 35, 19, 22, 24, 26, 50, 2, 14, 38, 48, 30, 49, 18, 5, 37, 41, 39, 11, 40, 7, 17, 27, 8, 44, 0]","[0, 25, 14, 46, 42, 22, 23, 7, 36, 31, 2, 48, 21, 18, 24, 12, 49, 8, 41, 13, 40, 9, 16, 26, 17, 45, 29, 1, 27, 43, 28, 10, 35, 37, 47, 38, 44, 34, 4, 5, 20, 19, 15, 50, 33, 30, 3, 6, 32, 39, 11, 0]","[0, 10, 35, 45, 29, 39, 11, 8, 25, 36, 43, 46, 3, 37, 21, 42, 49, 32, 7, 27, 22, 20, 31, 16, 17, 24, 41, 33, 19, 12, 30, 44, 1, 14, 6, 26, 40, 2, 47, 28, 48, 5, 9, 38, 34, 18, 13, 4, 15, 23, 50, 0]",50,0.2,0.2,2025-09-29 11:40:52.857348
2,1,0,27163.47640797764,"[0, 3, 5, 8, 37, 38, 40, 19, 28, 20, 2, 49, 29, 48, 21, 23, 34, 7, 35, 30, 33, 27, 18, 1, 10, 4, 41, 12, 39, 50, 24, 11, 46, 47, 13, 44, 32, 43, 15, 6, 17, 45, 36, 9, 42, 26, 22, 31, 14, 16, 25, 0]","[0, 39, 35, 24, 44, 42, 50, 38, 26, 16, 46, 30, 43, 2, 31, 21, 9, 48, 4, 14, 7, 5, 3, 25, 23, 18, 28, 11, 22, 12, 8, 32, 33, 19, 6, 15, 13, 17, 29, 40, 1, 41, 37, 47, 20, 34, 45, 27, 36, 10, 49, 0]","[0, 6, 15, 3, 5, 45, 21, 43, 49, 17, 29, 48, 11, 18, 7, 10, 30, 12, 24, 35, 25, 46, 16, 27, 9, 19, 37, 22, 42, 1, 33, 41, 40, 4, 34, 13, 50, 8, 20, 26, 32, 38, 28, 36, 23, 2, 47, 14, 39, 44, 31, 0]",50,0.2,0.2,2025-09-29 11:40:52.859031
3,1,0,26697.467270962774,"[0, 39, 41, 14, 49, 29, 21, 50, 20, 42, 13, 30, 38, 12, 31, 40, 9, 25, 11, 8, 10, 27, 28, 4, 33, 7, 32, 16, 22, 37, 1, 17, 43, 36, 26, 15, 5, 45, 34, 19, 23, 24, 2, 35, 44, 18, 48, 3, 6, 47, 46, 0]","[0, 38, 21, 29, 23, 17, 35, 24, 6, 50, 8, 45, 39, 25, 12, 30, 41, 40, 43, 5, 42, 34, 1, 20, 28, 37, 27, 7, 18, 49, 26, 31, 33, 15, 22, 9, 13, 2, 3, 36, 19, 46, 14, 32, 11, 10, 16, 47, 4, 44, 48, 0]","[0, 21, 29, 28, 40, 36, 39, 27, 42, 35, 2, 18, 48, 46, 49, 50, 1, 31, 32, 33, 14, 44, 25, 38, 47, 19, 10, 7, 13, 20, 22, 5, 17, 30, 45, 34, 43, 24, 11, 8, 26, 41, 12, 15, 3, 9, 6, 37, 16, 23, 4, 0]",50,0.2,0.2,2025-09-29 11:40:52.861080
4,1,0,27267.228291502015,"[0, 29, 15, 10, 5, 46, 14, 24, 9, 48, 36, 45, 21, 33, 31, 18, 34, 41, 12, 26, 42, 19, 11, 17, 43, 16, 30, 20, 3, 8, 6, 2, 49, 37, 25, 27, 7, 1, 39, 13, 35, 23, 28, 22, 4, 38, 32, 50, 40, 47, 44, 0]","[0, 8, 38, 32, 35, 1, 34, 9, 28, 11, 15, 39, 48, 40, 44, 23, 46, 4, 41, 13, 50, 6, 45, 43, 12, 36, 20, 16, 27, 29, 24, 14, 3, 49, 18, 7, 19, 31, 37, 10, 22, 21, 30, 2, 33, 17, 47, 5, 42, 26, 25, 0]","[0, 24, 14, 38, 32, 26, 42, 44, 39, 27, 23, 45, 35, 40, 11, 49, 21, 36, 8, 50, 43, 22, 19, 18, 17, 30, 1, 7, 5, 25, 29, 28, 13, 3, 15, 41, 16, 33, 10, 48, 9, 2, 12, 20, 37, 4, 6, 47, 34, 46, 31, 0]",50,0.2,0.2,2025-09-29 11:40:52.862718
5,1,0,25674.66824800373,"[0, 35, 21, 31, 6, 23, 25, 16, 5, 44, 8, 15, 22, 9, 49, 36, 47, 11, 20, 33, 26, 37, 40, 17, 50, 12, 7, 27, 4, 14, 29, 48, 28, 45, 18, 1, 10, 46, 19, 32, 41, 2, 13, 34, 3, 42, 43, 38, 24, 39, 30, 0]","[0, 25, 14, 46, 42, 22, 23, 7, 36, 31, 2, 48, 21, 18, 24, 12, 49, 8, 41, 13, 40, 9, 16, 26, 17, 45, 29, 1, 27, 43, 28, 10, 35, 37, 47, 38, 44, 34, 4, 5, 20, 19, 15, 50, 33, 30, 3, 6, 32, 39, 11, 0]","[0, 18, 20, 36, 12, 1, 30, 15, 24, 48, 46, 40, 10, 47, 35, 17, 21, 3, 50, 37, 31, 27, 49, 19, 26, 13, 7, 38, 2, 39, 8, 22, 23, 5, 44, 33, 32, 43, 16, 6, 34, 14, 11, 42, 25, 45, 41, 9, 28, 4, 29, 0]",50,0.2,0.2,2025-09-29 11:40:52.864233
6,1,0,27368.69372252488,"[0, 21, 47, 4, 32, 16, 3, 43, 12, 25, 46, 20, 28, 31, 33, 34, 1, 6, 23, 36, 9, 13, 15, 42, 29, 45, 10, 35, 19, 22, 24, 26, 50, 2, 14, 38, 48, 30, 49, 18, 5, 37, 41, 39, 11, 40, 7, 17, 27, 8, 44, 0]","[0, 8, 38, 32, 35, 1, 34, 9, 28, 11, 15, 39, 48, 40, 44, 23, 46, 4, 41, 13, 50, 6, 45, 43, 12, 36, 20, 16, 27, 29, 24, 14, 3, 49, 18, 7, 19, 31, 37, 10, 22, 21, 30, 2, 33, 17, 47, 5, 42, 26, 25, 0]","[0, 49, 18, 43, 12, 34, 1, 17, 7, 23, 37, 22, 31, 36, 44, 21, 39, 28, 29, 27, 2, 9, 11, 40, 8, 46, 15, 47, 19, 35, 16, 4, 42, 33, 13, 6, 48, 3, 50, 30, 45, 26, 5, 10, 32, 25, 24, 14, 38, 41, 20, 0]",50,0.2,0.2,2025-09-29 11:40:52.865813
7,1,0,26650.063087005747,"[0, 34, 29, 22, 20, 31, 42, 7, 50, 40, 13, 47, 16, 49, 5, 43, 8, 46, 26, 23, 11, 21, 12, 37, 1, 10, 30, 14, 15, 32, 27, 38, 9, 28, 3, 39, 19, 17, 48, 24, 2, 41, 6, 44, 33, 36, 45, 18, 25, 4, 35, 0]","[0, 35, 21, 31, 6, 23, 25, 16, 5, 44, 8, 15, 22, 9, 49, 36, 47, 11, 20, 33, 26, 37, 40, 17, 50, 12, 7, 27, 4, 14, 29, 48, 28, 45, 18, 1, 10, 46, 19, 32, 41, 2, 13, 34, 3, 42, 43, 38, 24, 39, 30, 0]","[0, 20, 41, 45, 18, 1, 10, 35, 19, 43, 40, 28, 50, 6, 3, 48, 2, 37, 31, 49, 34, 14, 38, 12, 47, 15, 32, 25, 21, 29, 11, 36, 8, 39, 30, 5, 26, 7, 22, 24, 27, 16, 9, 13, 42, 4, 17, 44, 23, 46, 33, 0]",50,0.2,0.2,2025-09-29 11:40:52.867516
8,1,0,24829.149868706776,"[0, 39, 41, 14, 49, 29, 21, 50, 20, 42, 13, 30, 38, 12, 31, 40, 9, 25, 11, 8, 10, 27, 28, 4, 33, 7, 32, 16, 22, 37, 1, 17, 43, 36, 26, 15, 5, 45, 34, 19, 23, 24, 2, 35, 44, 18, 48, 3, 6, 47, 46, 0]","[0, 17, 6, 42, 8, 38, 13, 44, 25, 29, 43, 2, 22, 50, 34, 28, 26, 4, 11, 39, 24, 41, 12, 47, 48, 49, 32, 9, 20, 14, 21, 10, 7, 36, 31, 19, 5, 37, 40, 3, 33, 16, 1, 35, 23, 15, 46, 45, 18, 30, 27, 0]","[0, 29, 24, 47, 31, 8, 40, 38, 48, 36, 32, 33, 28, 7, 14, 1, 26, 13, 39, 21, 45, 25, 2, 34, 6, 23, 12, 9, 37, 30, 43, 44, 3, 5, 20, 19, 10, 35, 4, 46, 17, 18, 50, 49, 22, 42, 16, 27, 15, 41, 11, 0]",50,0.2,0.2,2025-09-29 11:40:52.869318
9,1,0,25410.98008112409,"[0, 21, 47, 4, 32, 16, 3, 43, 12, 25, 46, 20, 28, 31, 33, 34, 1, 6, 23, 36, 9, 13, 15, 42, 29, 45, 10, 35, 19, 22, 24, 26, 50, 2, 14, 38, 48, 30, 49, 18, 5, 37, 41, 39, 11, 40, 7, 17, 27, 8, 44, 0]","[0, 34, 29, 22, 20, 31, 42, 7, 50, 40, 13, 47, 16, 49, 5, 43, 8, 46, 26, 23, 11, 21, 12, 37, 1, 10, 30, 14, 15, 32, 27, 38, 9, 28, 3, 39, 19, 17, 48, 24, 2, 41, 6, 44, 33, 36, 45, 18, 25, 4, 35, 0]","[0, 48, 18, 32, 24, 12, 20, 41, 15, 19, 35, 13, 10, 49, 23, 9, 42, 25, 34, 30, 26, 6, 37, 29, 38, 45, 3, 16, 5, 8, 31, 7, 28, 22, 27, 50, 2, 4, 11, 36, 47, 46, 1, 39, 33, 43, 21, 44, 17, 14, 40, 0]",50,0.2,0.2,2025-09-29 11:40:52.871624
10,1,0,26228.869659501463,"[0, 34, 29, 22, 20, 31, 42, 7, 50, 40, 13, 47, 16, 49, 5, 43, 8, 46, 26, 23, 11, 21, 12, 37, 1, 10, 30, 14, 15, 32, 27, 38, 9, 28, 3, 39, 19, 17, 48, 24, 2, 41, 6, 44, 33, 36, 45, 18, 25, 4, 35, 0]","[0, 8, 38, 32, 35, 1, 34, 9, 28, 11, 15, 39, 48, 40, 44, 23, 46, 4, 41, 13, 50, 6, 45, 43, 12, 36, 20, 16, 27, 29, 24, 14, 3, 49, 18, 7, 19, 31, 37, 10, 22, 21, 30, 2, 33, 17, 47, 5, 42, 26, 25, 0]","[0, 9, 28, 19, 10, 1, 8, 6, 4, 44, 46, 21, 13, 14, 41, 23, 35, 39, 27, 7, 42, 24, 22, 36, 47, 16, 48, 37, 50, 25, 26, 30, 31, 49, 34, 40, 15, 33, 18, 17, 43, 3, 11, 38, 2, 32, 20, 45, 5, 12, 29, 0]",50,0.2,0.2,2025-09-29 11:40:52.873181
